,Unnamed: 0,A1_ensembl,A2_ensembl,sequence_identity,min_seq_id,max_seq_id,singh_wgd,makino_wgd,WGD,same_chr,closest,family_size,cds_length_ratio,A1,A1_entrez,A2,A2_entrez,gene_pair,sorted_gene_pair,sex_chr,famsize2,n_A2_lost
0,20,ENSG00000013503,ENSG00000047315,0.394528,0.38075,0.394528,False,False,False,False,True,2.0,0.9651063829787234,POLR3B,55703,POLR2B,5431,POLR3B_POLR2B,POLR2B_POLR3B,False,True,86
1,21,ENSG00000136044,ENSG00000157500,0.520896,0.492243,0.520896,True,True,True,False,True,2.0,0.9450704225352112,APPL2,55198,APPL1,26060,APPL2_APPL1,APPL1_APPL2,False,True,232
2,24,ENSG00000125730,ENSG00000126838,0.203247,0.203247,0.22807,False,False,False,False,False,9.0,0.8912259615384616,C3,718,PZP,5858,C3_PZP,C3_PZP,False,False,52
3,28,ENSG00000156535,ENSG00000126838,0.273356,0.266532,0.273356,False,False,False,False,False,9.0,0.9750505731625084,CD109,135228,PZP,5858,CD109_PZP,CD109_PZP,False,False,52
4,32,ENSG00000125730,ENSG00000175899,0.206254,0.206254,0.2327,False,False,False,False,False,9.0,0.8864182692307693,C3,718,A2M,2,C3_A2M,A2M_C3,False,False,53
5,36,ENSG00000156535,ENSG00000175899,0.285121,0.279512,0.285121,False,False,False,False,False,9.0,0.9803389830508474,CD109,135228,A2M,2,CD109_A2M,A2M_CD109,False,False,53
6,55,ENSG00000125730,ENSG00000244731,0.2910399999999999,0.277523,0.2910399999999999,False,False,False,False,False,9.0,0.9535816618911176,C3,718,C4A,720,C3_C4A,C3_C4A,False,False,55
7,64,ENSG00000125730,ENSG00000224389,0.292243,0.27867,0.292243,False,False,False,False,True,9.0,0.9535816618911176,C3,718,C4B,721,C3_C4B,C3_C4B,False,False,55
8,71,ENSG00000244731,ENSG00000125730,0.277523,0.277523,0.2910399999999999,False,False,False,False,False,9.0,0.9535816618911176,C4A,720,C3,718,C4A_C3,C3_C4A,False,False,89
9,74,ENSG00000224389,ENSG00000125730,0.27867,0.27867,0.292243,False,False,False,False,False,9.0,0.9535816618911176,C4B,721,C3,718,C4B_C3,C3_C4B,False,False,89
10,76,ENSG00000175899,ENSG00000125730,0.2327,0.206254,0.2327,False,False,False,False,False,9.0,0.8864182692307693,A2M,2,C3,718,A2M_C3,A2M_C3,False,False,89
11,77,ENSG00000126838,ENSG00000125730,0.22807,0.203247,0.22807,False,False,False,False,False,9.0,0.8912259615384616,PZP,5858,C3,718,PZP_C3,C3_PZP,False,False,89
12,78,ENSG00000166535,ENSG00000156535,0.265475,0.265475,0.267128,False,False,False,False,False,9.0,0.9938144329896909,A2ML1,144568,CD109,135228,A2ML1_CD109,A2ML1_CD109,False,False,107
13,84,ENSG00000175899,ENSG00000156535,0.279512,0.279512,0.285121,False,False,False,False,False,9.0,0.9803389830508474,A2M,2,CD109,135228,A2M_CD109,A2M_CD109,False,False,107
14,85,ENSG00000126838,ENSG00000156535,0.266532,0.266532,0.273356,False,False,False,False,False,9.0,0.9750505731625084,PZP,5858,CD109,135228,PZP_CD109,CD109_PZP,False,False,107
15,91,ENSG00000156535,ENSG00000166535,0.267128,0.265475,0.267128,False,False,False,False,False,9.0,0.9938144329896909,CD109,135228,A2ML1,144568,CD109_A2ML1,A2ML1_CD109,False,False,55
16,251,ENSG00000111786,ENSG00000136450,0.701357,0.625,0.701357,True,True,True,False,True,5.0,0.8740157480314961,SRSF9,8683,SRSF1,6426,SRSF9_SRSF1,SRSF1_SRSF9,False,False,50
17,252,ENSG00000116350,ENSG00000136450,0.228745,0.228745,0.455645,False,False,False,False,False,5.0,0.5131313131313131,SRSF4,6429,SRSF1,6426,SRSF4_SRSF1,SRSF1_SRSF4,False,False,50
18,254,ENSG00000100650,ENSG00000136450,0.404412,0.404412,0.443548,False,False,False,False,False,5.0,0.9304029304029304,SRSF5,6430,SRSF1,6426,SRSF5_SRSF1,SRSF1_SRSF5,False,False,50
19,261,ENSG00000100650,ENSG00000116350,0.628676,0.346154,0.628676,False,False,False,False,False,5.0,0.5515151515151515,SRSF5,6430,SRSF4,6429,SRSF5_SRSF4,SRSF4_SRSF5,False,False,126
20,262,ENSG00000136450,ENSG00000116350,0.455645,0.228745,0.455645,False,False,False,False,False,5.0,0.5131313131313131,SRSF1,6426,SRSF4,6429,SRSF1_SRSF4,SRSF1_SRSF4,False,False,126
21,263,ENSG00000111786,ENSG00000100650,0.38009,0.308824,0.38009,False,False,False,False,False,5.0,0.8131868131868132,SRSF9,8683,SRSF5,6430,SRSF9_SRSF5,SRSF5_SRSF9,False,False,135
22,264,ENSG00000116350,ENSG00000100650,0.346154,0.346154,0.628676,False,False,False,False,False,5.0,0.5515151515151515,SRSF4,6429,SRSF5,6430,SRSF4_SRSF5,SRSF4_SRSF5,False,False,135
23,266,ENSG00000136450,ENSG00000100650,0.443548,0.404412,0.443548,False,False,False,False,False,5.0,0.9304029304029304,SRSF1,6426,SRSF5,6430,SRSF1_SRSF5,SRSF1_SRSF5,False,False,135
24,269,ENSG00000100650,ENSG00000111786,0.308824,0.308824,0.38009,False,False,False,False,False,5.0,0.8131868131868132,SRSF5,6430,SRSF9,8683,SRSF5_SRSF9,SRSF5_SRSF9,False,False,61
25,270,ENSG00000136450,ENSG00000111786,0.625,0.625,0.701357,True,True,True,False,True,5.0,0.8740157480314961,SRSF1,6426,SRSF9,8683,SRSF1_SRSF9,SRSF1_SRSF9,False,False,61
26,330,ENSG00000197217,ENSG00000054179,0.211039,0.211039,0.2626259999999999,False,False,False,False,False,6.0,0.8038897893030794,ENTPD4,9583,ENTPD2,954,ENTPD4_ENTPD2,ENTPD2_ENTPD4,False,False,86
27,331,ENSG00000138185,ENSG00000054179,0.3659,0.3659,0.385859,False,False,False,False,False,6.0,0.948374760994264,ENTPD1,953,ENTPD2,954,ENTPD1_ENTPD2,ENTPD1_ENTPD2,False,False,86
28,332,ENSG00000168032,ENSG00000054179,0.3686199999999999,0.3686199999999999,0.393939,False,False,False,False,True,6.0,0.9358490566037736,ENTPD3,956,ENTPD2,954,ENTPD3_ENTPD2,ENTPD2_ENTPD3,False,False,86
29,335,ENSG00000197217,ENSG00000168032,0.214286,0.214286,0.249527,False,False,False,False,False,6.0,0.8589951377633711,ENTPD4,9583,ENTPD3,956,ENTPD4_ENTPD3,ENTPD3_ENTPD4,False,False,214
30,336,ENSG00000138185,ENSG00000168032,0.346743,0.342155,0.346743,False,False,False,False,False,6.0,0.9867924528301888,ENTPD1,953,ENTPD3,956,ENTPD1_ENTPD3,ENTPD1_ENTPD3,False,False,214
31,337,ENSG00000054179,ENSG00000168032,0.393939,0.3686199999999999,0.393939,False,False,False,False,False,6.0,0.9358490566037736,ENTPD2,954,ENTPD3,956,ENTPD2_ENTPD3,ENTPD2_ENTPD3,False,False,214
32,340,ENSG00000197217,ENSG00000138185,0.204545,0.204545,0.2413789999999999,False,True,True,False,False,6.0,0.8476499189627229,ENTPD4,9583,ENTPD1,953,ENTPD4_ENTPD1,ENTPD1_ENTPD4,False,False,156
33,341,ENSG00000054179,ENSG00000138185,0.385859,0.3659,0.385859,False,False,False,False,False,6.0,0.948374760994264,ENTPD2,954,ENTPD1,953,ENTPD2_ENTPD1,ENTPD1_ENTPD2,False,False,156
34,342,ENSG00000168032,ENSG00000138185,0.342155,0.342155,0.346743,False,False,False,False,False,6.0,0.9867924528301888,ENTPD3,956,ENTPD1,953,ENTPD3_ENTPD1,ENTPD1_ENTPD3,False,False,156
35,345,ENSG00000138185,ENSG00000197217,0.2413789999999999,0.204545,0.2413789999999999,False,True,True,False,False,6.0,0.8476499189627229,ENTPD1,953,ENTPD4,9583,ENTPD1_ENTPD4,ENTPD1_ENTPD4,False,False,222
36,346,ENSG00000054179,ENSG00000197217,0.2626259999999999,0.211039,0.2626259999999999,False,False,False,False,False,6.0,0.8038897893030794,ENTPD2,954,ENTPD4,9583,ENTPD2_ENTPD4,ENTPD2_ENTPD4,False,False,222
37,347,ENSG00000168032,ENSG00000197217,0.249527,0.214286,0.249527,False,False,False,False,False,6.0,0.8589951377633711,ENTPD3,956,ENTPD4,9583,ENTPD3_ENTPD4,ENTPD3_ENTPD4,False,False,222
38,413,ENSG00000197530,ENSG00000101752,0.369159,0.369159,0.392644,False,False,False,False,True,2.0,0.9402427637721756,MIB2,142678,MIB1,57534,MIB2_MIB1,MIB1_MIB2,False,True,125
39,423,ENSG00000101752,ENSG00000197530,0.392644,0.369159,0.392644,False,False,False,False,True,2.0,0.9402427637721756,MIB1,57534,MIB2,142678,MIB1_MIB2,MIB1_MIB2,False,True,87
40,502,ENSG00000161204,ENSG00000204574,0.379408,0.318343,0.379408,False,False,False,False,True,2.0,0.8392434988179669,ABCF3,55324,ABCF1,23,ABCF3_ABCF1,ABCF1_ABCF3,False,True,53
44,537,ENSG00000104490,ENSG00000163032,0.6839379999999999,0.6839379999999999,0.6910989999999999,False,True,True,False,False,14.0,0.9846153846153848,NCALD,83988,VSNL1,7447,NCALD_VSNL1,NCALD_VSNL1,False,False,22
45,539,ENSG00000107130,ENSG00000163032,0.573684,0.570681,0.573684,False,False,False,False,False,14.0,0.9947916666666666,NCS1,23413,VSNL1,7447,NCS1_VSNL1,NCS1_VSNL1,False,False,22
46,551,ENSG00000104490,ENSG00000115756,0.906736,0.906736,0.906736,True,True,True,False,True,14.0,0.9948717948717948,NCALD,83988,HPCAL1,3241,NCALD_HPCAL1,HPCAL1_NCALD,False,False,25
47,553,ENSG00000107130,ENSG00000115756,0.594737,0.585492,0.594737,False,False,False,False,True,14.0,0.9845360824742267,NCS1,23413,HPCAL1,3241,NCS1_HPCAL1,HPCAL1_NCS1,False,False,25
48,665,ENSG00000163032,ENSG00000107130,0.570681,0.570681,0.573684,False,False,False,False,False,14.0,0.9947916666666666,VSNL1,7447,NCS1,23413,VSNL1_NCS1,NCS1_VSNL1,False,False,102
49,668,ENSG00000104490,ENSG00000107130,0.580311,0.580311,0.589474,False,False,False,False,False,14.0,0.9794871794871794,NCALD,83988,NCS1,23413,NCALD_NCS1,NCALD_NCS1,False,False,102
50,670,ENSG00000115756,ENSG00000107130,0.585492,0.585492,0.594737,False,False,False,False,False,14.0,0.9845360824742267,HPCAL1,3241,NCS1,23413,HPCAL1_NCS1,HPCAL1_NCS1,False,False,102
